name,sku,description,category,observations,price,stock
"Absorvente Interno Médio O.B. 10 un","P0002","Marca: O.B.. Categoria: Higiene Pessoal. Tipo: Cuidados Femininos. Embalagem: Pacote 10 unidades. O Absorvente Interno O.B. Médio é ideal para proporcionar conforto e segurança durante o período menstrual. Com 10 unidades em cada pacote, ele se adapta ao corpo feminino, garantindo proteção e discrição. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma escolha prática para o seu dia a dia.","Para Você","EAN/GTIN: 7891010886547",11.90,2
"Absorvente Interno Super O.B. 10 un","P516","Marca: O.B.. Categoria: Higiene Pessoal. Tipo: Cuidados Femininos. Embalagem: 10 unidades. O Absorvente Interno O.B. Super é ideal para mulheres que buscam conforto e proteção durante o período menstrual. Com 10 unidades em cada embalagem, ele proporciona segurança e discrição, permitindo que você se sinta à vontade em qualquer situação. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma escolha prática para o seu dia a dia.","Para Você","EAN/GTIN: 7891010010577",13.90,2
"Açafrão Real Sabor 30 g","7898997673351","Marca: Real sabor. Categoria: Mercearia. Tipo: Temperos. Embalagem: 30g. Açafrão em pó da marca Lida Ltt Real Sabor, embalagem pacote de 100g, EAN 7898997673351. Ingredientes: Cúrcuma raiz e farinha de milho enriquecida com ferro e ácido fólico.","Para Casa","EAN/GTIN: 7898997673351",1.89,9
"Açafrão-da-Terra (Cúrcuma Moída) Kinino 130 g","7897005104375","Marca: Kinino. Categoria: Mercearia. Tipo: Temperos. Embalagem: 130g. O Açafrão-da-Terra (Cúrcuma Moída) Kinino 130g é um tempero gourmet que realça o sabor e a cor de diversos pratos. Produzido a partir da moagem da cúrcuma, este produto é 100% natural, sem aditivos ou conservantes. Embalado em pote de 130g, é ideal para uso doméstico ou profissional, conferindo um toque especial a risotos, aves, caldos, massas e doces.","Para Casa","EAN/GTIN: 7897005104375",12.90,1
"Açafrão-da-terra Itapero 30 g","7895639000018","Marca: Itapero. Categoria: Mercearia. Tipo: Temperos. Embalagem: 30g. AÇAFRÃO-DA-TERRA 30g, marca lida Itapero, embalagem exata 30g, EAN 7895639000018. Ingredientes: Cúrcuma raiz e farinha de milho enriquecida com ferro e ácido fólico. NÃO CONTÉM GLÚTEN. PODE CONTER SOJA. Conservar em local seco, fresco e arejado.","Para Casa","EAN/GTIN: 7895639000018",1.89,7
"Acetona Farmax 100 ml","P527","Marca: Farmax. Categoria: Beleza e Cuidados. Tipo: Unhas. Embalagem: 100ml. Acetona Farmax 100 ml Farmax BELEZA MANICURE REMOVEDOR DE ESMALTE 100ml Para Você Beleza e Cuidados Unhas","Para Você","EAN/GTIN: 7896902209114",3.69,10
"Achocolatado em Pó Nescau 350 g","P571","Marca: Nescau. Categoria: Mercearia. Tipo: Achocolatados. Embalagem: Lata de 350g. O achocolatado em pó Nescau é uma opção prática e saborosa para o café da manhã ou lanches. Basta misturar com leite quente ou frio para uma bebida cremosa e nutritiva. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é ideal para todas as idades e proporciona energia rápida para o dia a dia.","Para Casa","EAN/GTIN: 7891000412855",11.90,3
"Achocolatado em Pó Nescau 550 g","428909M","Marca: Nescau. Categoria: Mercearia. Tipo: Achocolatados. Embalagem: 550g. O achocolatado em pó Nescau é ideal para preparar bebidas deliciosas, seja com leite quente ou frio. Perfeito para o café da manhã, ele traz um sabor inconfundível que agrada a toda a família. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma escolha prática e saborosa para o seu dia a dia.","Para Casa","Produto em oferta | EAN/GTIN: 7891000338087",17.90,3
"Achocolatado em Pó Nesquik Morango Nestlé 380 g","187916A","Marca: Nestlé. Categoria: Mercearia. Tipo: Achocolatados. Embalagem: Lata de 380g. O achocolatado em pó Nestlé Nesquik sabor morango é uma opção deliciosa para o café da manhã ou lanche. Com polpa natural de morango, ele traz um sabor especial que agrada a toda a família. Ideal para preparar uma bebida achocolatada com leite, é uma escolha prática e saborosa para quem vive em Cuiabá e Várzea Grande.","Para Casa","EAN/GTIN: 7891000104101",14.90,1
"Achocolatado Pirakids Sabor Chocolate Piracanjuba 200 ml","P575","Marca: Piracanjuba. Categoria: Mercearia. Tipo: Achocolatados. Embalagem: 200ml. O achocolatado líquido Pirakids da Piracanjuba é uma opção deliciosa para lanches e atividades escolares. Com sua embalagem prática de 200ml, é perfeito para levar na mochila ou na lancheira. A Dona Antônia oferece esse produto em Cuiabá e Várzea Grande, garantindo uma experiência saborosa e conveniente para as crianças.","Para Casa","EAN/GTIN: 7898215151807",1.80,62
"Acidificante Capilar pH Control Pós-Química Belkit 200 ml","P-0SPX","Marca: Belkit. Categoria: Cabelos. Tipo: Tratamentos Capilares. Embalagem: 200ml. Acidificante Capilar pH Control Pós-Química Belkit 200 ml Belkit BELEZA CABELO TRATAMENTO CAPILAR 200ml Para Você Cabelos Tratamentos Capilares","Para Você","EAN/GTIN: 7898466600635",24.90,2
"Acidificante Ultra Gloss Elseve 200 ml","7908615060347","Marca: Elseve. Categoria: Cabelos. Tipo: Tratamentos Capilares. Embalagem: 200 ml. O ACIDIFICANTE ULTRA GLOSS 200 ml da L'Oréal é um tratamento capilar com pH ácido e 6% de Ácido Glicólico, desenvolvido para combater a porosidade dos fios desde o primeiro uso. Sua fórmula sela as cutículas e corrige falhas na fibra capilar, proporcionando brilho intenso que resiste por até 6 lavagens. Indicado para todos os tipos de cabelo, especialmente os porosos e sem brilho.","Para Você","EAN/GTIN: 7908615060347",38.90,2
"Açúcar Cristal Doce Dia 2 kg","P426","Marca: Doce Dia. Categoria: Mercearia. Tipo: Açúcar. Embalagem: 2kg. Açúcar Cristal Doce Dia 2 kg Doce Dia MERCEARIA BÁSICA AÇÚCAR AÇÚCAR REFINADO E ESPECIAL 2kg Para Casa Mercearia Açúcar","Para Casa","EAN/GTIN: 7896984700028",5.99,938
"Açúcar Demerara Itamarati 1 kg","5946640624","Marca: Itamarati. Categoria: Mercearia. Tipo: Açúcar. Embalagem: 1kg. Açúcar Demerara Itamarati 1 kg Itamarati MERCEARIA BÁSICA AÇÚCAR AÇÚCAR REFINADO E ESPECIAL 1kg Para Casa Mercearia Açúcar","Para Casa","EAN/GTIN: 7896433800453",5.90,2
"Açúcar Refinado Itamarati 1 kg","1188950380","Marca: Itamarati. Categoria: Mercearia. Tipo: Açúcar. Embalagem: 1kg. Açúcar Refinado Itamarati 1 kg Itamarati MERCEARIA BÁSICA AÇÚCAR AÇÚCAR REFINADO E ESPECIAL 1kg Para Casa Mercearia Açúcar","Para Casa","EAN/GTIN: 7896433800354",4.90,3
"Adaptador de Tomada Benjamim - * * 1un","73978685","Categoria: Casa e Utilidades. Tipo: Utilidades Domésticas. Embalagem: 1 un. Adaptador de Tomada Benjamim - * * 1un UTENSÍLIOS E UTILIDADES CASA ADAPTADOR DE TOMADA 1 un Para Casa Casa e Utilidades Utilidades Domésticas","Para Casa","EAN/GTIN: 2712739786855",3.90,98
"Água Micelar 7 em 1 NIVEA 200 ml","P-16UV","Marca: NIVEA. Categoria: Beleza e Cuidados. Tipo: Cuidados com o Rosto. Embalagem: 200ml. A Água Micelar NIVEA 7 em 1 é ideal para limpar, hidratar e tonificar a pele. Com sua fórmula suave, remove impurezas e maquiagem, deixando a pele fresca e saudável. Disponível em Cuiabá e Várzea Grande, é uma excelente opção para quem busca praticidade e cuidado diário.","Para Você","EAN/GTIN: 4005900359261",28.90,2
"Água Micelar Elseve Efeito Matte 5 em 1 200ml","489678D","Marca: Elseve. Categoria: Beleza e Cuidados. Tipo: Cuidados com o Rosto. Embalagem: 200ml. A Água Micelar Elseve Efeito Matte 5 em 1 é ideal para a rotina de cuidados com a pele do rosto. Ela ajuda a limpar, tonificar e hidratar, proporcionando um efeito matte. Perfeita para quem busca praticidade no dia a dia, é uma ótima opção para os moradores de Cuiabá e Várzea Grande que desejam manter a pele fresca e saudável.","Para Você","EAN/GTIN: 7899706180887",26.90,1
"Água Micelar Facial com Ácido Hialurônico Monange 200 ml","210555C","Marca: Monange. Categoria: Beleza e Cuidados. Tipo: Cuidados com o Rosto. Embalagem: 200ml. Água Micelar Facial com Ácido Hialurônico Monange 200 ml Monange BELEZA ROSTO ÁGUA MICELAR 200ml Para Você Beleza e Cuidados Cuidados com o Rosto","Para Você","EAN/GTIN: 7896235354345",19.90,6
"Água Micelar Tudo em 1 Garnier 400 ml","P-8EU1","Marca: Garnier. Categoria: Beleza e Cuidados. Tipo: Cuidados com o Rosto. Embalagem: 400ml. A água micelar Garnier é um produto versátil que limpa, remove maquiagem e tonifica a pele em um único passo. Ideal para o cuidado diário do rosto, ela é perfeita para quem busca praticidade na rotina de beleza. Disponível em Cuiabá e Várzea Grande, é uma escolha confiável para manter a pele fresca e limpa.","Para Você","EAN/GTIN: 7899706178129",36.90,1
"Água Micelar Vitamina C Garnier 400 ml","61954323","Marca: Garnier. Categoria: Beleza e Cuidados. Tipo: Cuidados com o Rosto. Embalagem: 400ml. A Garnier Água Micelar com Vitamina C é ideal para a limpeza da pele do rosto. Ela remove impurezas e maquiagem de forma prática, sendo uma ótima opção para quem busca agilidade na rotina de cuidados. Em Cuiabá e Várzea Grande, esse produto tem se tornado um aliado na rotina de beleza, proporcionando frescor e suavidade à pele.","Para Você","EAN/GTIN: 7899706178143",36.90,1
"Água Oxigenada Cremosa 20 volumes Farmax 90 ml","P0011","Marca: Farmax. Categoria: Cabelos. Tipo: Coloração Capilar. Embalagem: 90ml. Água Oxigenada Cremosa 20 volumes Farmax 90 ml Farmax BELEZA CABELO COLORAÇÃO CAPILAR 90ml Para Você Cabelos Coloração Capilar","Para Você","EAN/GTIN: 7896902210561",2.90,10
"Água Oxigenada Cremosa 30 volumes Farmax 90 ml","P0012","Marca: Farmax. Categoria: Cabelos. Tipo: Coloração Capilar. Embalagem: 90ml. Água Oxigenada Cremosa 30 volumes Farmax 90 ml Farmax BELEZA CABELO COLORAÇÃO CAPILAR 90ml Para Você Cabelos Coloração Capilar","Para Você","EAN/GTIN: 7896902210608",2.90,8
"Água Sanitária Cloro Ativo Girando Sol 2 L","7896404605490","Marca: Girando Sol. Categoria: Limpeza. Tipo: Água Sanitária e Cloro. Embalagem: 2L. A Água Sanitária Girando Sol Cloro Ativo 2L é um produto de limpeza multifuncional, atuando como alvejante, fungicida, bactericida, limpa limo, tira manchas e realizando limpeza pesada. Sua fórmula com cloro ativo proporciona higienização eficaz em diversos ambientes, incluindo banheiros e cozinhas. A embalagem de 2 litros é ideal para uso doméstico, oferecendo praticidade e economia.","Para Casa","EAN/GTIN: 7896404605490",7.69,3
